city_id,meeting_id,person_id,split,stratum,n_utts,minutes
argos,apr24_2026,,val,unseen_city,19,0.805
argos,apr24_2026,cm8zzdtgg0004132p479ua0on,val,unseen_city,64,3.308
argos,apr24_2026,cm90yxmlj021go7wke7z8isba,val,unseen_city,16,0.513
argos,apr24_2026,cm90yz3ic021po7wkptb4dd05,val,unseen_city,12,0.724
argos,apr24_2026,cm90yzv42021to7wk1qgs4rsk,val,unseen_city,2,0.127
argos,apr24_2026,cm90z1ykw079qlt4rb79wbazo,val,unseen_city,2,0.043
argos,apr24_2026,cm90ztb8f07bnlt4rpoia62fx,val,unseen_city,12,0.368
argos,apr24_2026,cm90zxvu907c2lt4r7sri6nl7,val,unseen_city,1,0.037
argos,apr24_2026,cm9105g0s07cblt4rrv5r5j4f,val,unseen_city,2,0.041
argos,apr24_2026,cm917mbdd0012ktkpkwx520jy,val,unseen_city,8,0.395
argos,apr30_2026,cm8zzdtgg0004132p479ua0on,val,unseen_city,21,1.129
argos,apr30_2026,cm90yxmlj021go7wke7z8isba,val,unseen_city,7,0.216
argos,apr30_2_2026,,val,unseen_city,3,0.159
argos,apr30_2_2026,cm8zzdtgg0004132p479ua0on,val,unseen_city,135,7.652
argos,apr30_2_2026,cm90yxmlj021go7wke7z8isba,val,unseen_city,15,0.418
argos,apr30_2_2026,cm90yzv42021to7wk1qgs4rsk,val,unseen_city,5,0.274
argos,apr30_2_2026,cm90z0m81079mlt4rwkkkjx9u,val,unseen_city,10,0.813
argos,apr30_2_2026,cm90z5ib2022ho7wkty9us3r0,val,unseen_city,28,1.479
argos,apr30_2_2026,cm90zrasw07bilt4roviprvpd,val,unseen_city,14,0.544
argos,apr30_2_2026,cm90ztb8f07bnlt4rpoia62fx,val,unseen_city,10,0.475
argos,apr30_2_2026,cm90zxvu907c2lt4r7sri6nl7,val,unseen_city,2,0.114
argos,apr30_2_2026,cm9105g0s07cblt4rrv5r5j4f,val,unseen_city,1,0.018
argos,apr30_2_2026,cm9111myt024ro7wktkg6qlkj,val,unseen_city,1,0.038
argos,apr30_2_2026,cm917mbdd0012ktkpkwx520jy,val,unseen_city,5,0.289
argos,apr7_2026,cm8zzdtgg0004132p479ua0on,val,unseen_city,88,5.244
